DBNs,Funding
27Q282,1425046
84X398,0
14K147,1917154
30Q126,3719722
25Q029,3248150
24Q113,3976744
09X028,4086439
15K029,3271524
24Q119,5049394
12X217,2543208
25Q022,4104665
15K024,4145941
25Q024,4615587
28Q072,4757688
12X211,3973172
24Q058,5115454
25Q021,5485596
01M301,1426640
84K777,0
29Q268,3340874
10X007,3251357
84M709,0
02M312,2895088
06M328,2883166
18K135,3795722
06M326,2549906
06M324,2421049
06M325,2534985
06M322,2978927
01M063,1657882
06M321,0
27Q053,3244201
22K139,4991358
84M284,0
25Q209,3253594
06M143,4376678
20K247,3547426
29Q251,2405266
22K134,2537225
21K188,3386717
20K179,4544899
12X044,2067079
09X241,3378146
17K587,2285136
20K176,5754270
84M430,0
20K170,4554333
84X309,0
20K030,2208068
12X286,1703095
27Q056,2615439
84K508,0
31R016,5423286
75K004,0
08X069,3251355
75K368,0
31R031,3205765
31R008,2489661
06M132,4691600
12X341,1449981
11X083,9076574
75Q233,0
08X107,3104870
31R001,2825989
31R002,5168299
31R003,4193822
31R004,4459411
04M206,1624486
08X101,2573467
31R007,6143569
03M242,1475902
27Q124,5707652
18K235,6540682
10X003,3146835
07X065,2436705
75K053,0
31R030,4563673
15K443,2626894
15K442,1796031
24Q877,2300614
05M200,3439266
84K358,0
02M158,3732200
75X186,0
75K369,0
19K328,3463836
08X152,4699856
09X132,4108123
04M096,2865388
12X318,2589107
10X056,3419465
15K124,1862536
10X054,2797305
11X175,2381230
05M367,2965951
12X134,3491688
21K329,2656213
05M362,1773864
06M210,2662998
02M422,1127572
84K593,0
02M255,2158200
84Q706,0
26Q031,2668498
84Q704,0
84Q705,0
75X017,0
29Q156,4686591
22K277,2382897
84K649,0
84X488,0
26Q213,2741847
26Q216,6011294
84M350,0
09X443,2672237
31R032,4314988
15K154,2379870
25Q214,2321925
22K245,1272485
22K240,5682312
15K169,7270632
84M355,0
02M896,1560550
31R861,2531979
18K581,1647459
08X366,2545949
23K150,1916135
84M341,0
03M859,780014
04M102,2384699
32K291,3845752
10X280,4357680
84K652,0
11X178,3255522
84K651,0
15K032,1918530
31R005,1399791
84M478,0
31R006,4229323
23K323,3021344
03M245,1921451
18K285,4698368
03M247,1393021
23K327,3927514
03M241,1693100
02M089,2693574
31R011,1777212
25Q107,4724801
28Q121,4789094
17K221,3555850
25Q184,2629156
23K178,3155982
05M092,2824525
17K382,3016714
10X308,1603893
24Q125,8145017
84K731,0
84K730,0
02M104,4861196
75X012,0
23K697,3029842
08X093,2755625
03M149,2381282
24Q014,7879672
24Q016,7718634
24Q305,1886917
24Q012,6503681
15K448,4894068
27Q333,2798899
01M020,3216429
06M366,1292099
84X705,0
84X704,0
06M368,1323652
84X706,0
84X703,0
75M138,0
28Q054,3190078
01M019,1801509
30Q227,7633317
28Q050,4572734
13K067,1606309
27Q183,3374050
29Q208,4190225
28Q196,3110073
28Q190,4567039
84X345,0
19K202,4329196
14K132,3475994
26Q041,2792077
21K215,3607409
05M469,2315525
21K216,2337406
19K290,3214614
84K608,0
19K292,3901149
32K384,3806343
27Q097,3915407
27Q096,1914729
15K015,2410452
84K702,0
15K010,3857896
27Q090,4659928
32K145,4366272
17K316,2257153
09X117,4464906
23K073,2783586
09X110,2870069
12X047,5924510
