School Year,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
2013-14,K615,19K615,Transit Tech Career and Technical Education High S,K615,1 WELLS STREET,K,19,"1,167",,1,Transit Tech Career and Technical Education High S,0,2,16,0,1,1001-1250,6C,0.56,2.40,3.56,1.36,1.05
2013-14,K620,21K620,William E. Grady Career and Technical Education Hi,K620,25 BRIGHTON  4TH ROAD,K,21,636,25 BRIGHTON  4TH ROAD CONSOLIDATED LOCATION,2,William E. Grady Career and Technical Education Hi|ALC- Brighton Academy|25 BRIGHTON  4TH ROAD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,501-750,4C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K620,88K984      ,ALC- Brighton Academy,K984,25 BRIGHTON  4TH ROAD,K,21,,25 BRIGHTON  4TH ROAD CONSOLIDATED LOCATION,2,William E. Grady Career and Technical Education Hi|ALC- Brighton Academy|25 BRIGHTON  4TH ROAD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K620,,25 BRIGHTON  4TH ROAD CONSOLIDATED LOCATION,,25 BRIGHTON  4TH ROAD,K,21,636,25 BRIGHTON  4TH ROAD CONSOLIDATED LOCATION,2,William E. Grady Career and Technical Education Hi|ALC- Brighton Academy|25 BRIGHTON  4TH ROAD CONSOLIDATED LOCATION,2,1,13,1,2,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K625,17K625,Paul Robeson High School,K625,150 ALBANY AVENUE,K,17,42,150 ALBANY AVENUE CONSOLIDATED LOCATION,3,Pathways in Technology Early College High School ( |  Paul Robeson High School |  Academy for Health Careers |  150 ALBANY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K625,17K122,Pathways in Technology Early College High School (,K122,150 ALBANY AVENUE,K,17,330,150 ALBANY AVENUE CONSOLIDATED LOCATION,3,Pathways in Technology Early College High School ( |  Paul Robeson High School |  Academy for Health Careers |  150 ALBANY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K625,17K751,Academy for Health Careers,K751,150 ALBANY AVENUE,K,17,314,150 ALBANY AVENUE CONSOLIDATED LOCATION,3,Pathways in Technology Early College High School ( |  Paul Robeson High School |  Academy for Health Careers |  150 ALBANY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K625,,150 ALBANY AVENUE CONSOLIDATED LOCATION,,150 ALBANY AVENUE,K,17,686,150 ALBANY AVENUE CONSOLIDATED LOCATION,3,Pathways in Technology Early College High School ( |  Paul Robeson High School |  Academy for Health Careers |  150 ALBANY AVENUE CONSOLIDATED LOCATION,0,3,19,0,2,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,K650,14K561,Williamsburg Preparatory School,K561,257 NORTH  6 STREET,K,14,671,257 NORTH  6 STREET CONSOLIDATED LOCATION,3,Brooklyn Preparatory High School |  Williamsburg High School for Architecture and Desi |  Williamsburg Preparatory School |  257 NORTH  6 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,501-750,4C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,K650,14K558,Williamsburg High School for Architecture and Desi,K558,257 NORTH  6 STREET,K,14,576,257 NORTH  6 STREET CONSOLIDATED LOCATION,3,Brooklyn Preparatory High School |  Williamsburg High School for Architecture and Desi |  Williamsburg Preparatory School |  257 NORTH  6 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,501-750,4C,#N/A,#N/A,#N/A,#N/A,#N/A
