School Year,Building Code,DBN,Location Name,Location Code,Address,Borough,Geographical District Code,Register,Building Name,# Schools,Schools in Building,Major N,Oth N,NoCrim N,Prop N,Vio N,ENGroupA,RangeA,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N
2013-14,Q125,24Q125,I.S. 125 Thom J. McCann Woodside,Q125,46-02 47 AVENUE,Q,24,"1,734",,1,I.S. 125 Thom J. McCann Woodside,0,0,1,0,0,1501-1750,8C,0.81,3.95,6.51,2.30,1.78
2013-14,Q126,88Q997      ,ALC - IS 126,Q997,31-51 21 STREET,Q,30,,31-51 21 STREET CONSOLIDATED LOCATION,2,Albert Shanker School for Visual and Performing Ar |  ALC - IS 126 |  31-51 21 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q126,30Q126,Albert Shanker School for Visual and Performing Ar,Q126,31-51 21 STREET,Q,30,531,31-51 21 STREET CONSOLIDATED LOCATION,2,Albert Shanker School for Visual and Performing Ar |  ALC - IS 126 |  31-51 21 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,501-750,4C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q126,,31-51 21 STREET CONSOLIDATED LOCATION,,31-51 21 STREET,Q,30,531,31-51 21 STREET CONSOLIDATED LOCATION,2,Albert Shanker School for Visual and Performing Ar |  ALC - IS 126 |  31-51 21 STREET CONSOLIDATED LOCATION,0,0,2,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q127,30Q127,P.S. 127 Aerospace Science Magne,Q127,98-01 25 AVENUE,Q,30,"1,462",,1,P.S. 127 Aerospace Science Magne,0,4,3,2,1,1251-1500,7C,0.86,3.26,5.55,2.17,1.29
2013-14,Q129,25Q129,P.S. 129 Patricia Larkin,Q129,128-02 7 AVENUE,Q,25,"1,087",,1,P.S. 129 Patricia Larkin,0,0,1,0,0,1001-1250,6C,0.56,2.40,3.56,1.36,1.05
2013-14,Q130,25Q130,P.S. 130,Q130,200-01 42 AVENUE,Q,26,349,,1,P.S. 130,0,0,0,0,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,Q131,29Q131,P.S. 131 Abigail Adams,Q131,170-45 84 AVENUE,Q,29,840,,1,P.S. 131 Abigail Adams,0,1,0,1,0,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,Q132,29Q132,P.S. 132 Ralph Bunche,Q132,132-15 218 STREET,Q,29,347,,1,P.S. 132 Ralph Bunche,0,0,0,0,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,Q133,26Q133,P.S. 133 Queens,Q133,248-05 86 AVENUE,Q,26,405,,1,P.S. 133 Queens,0,0,0,0,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,Q134,29Q134,P.S. 134 Hollis,Q134,203-02 109 AVENUE,Q,29,487,,1,P.S. 134 Hollis,0,0,2,0,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,Q135,29Q135,The Bellaire School,Q135,207-11 89 AVENUE,Q,29,973,,1,The Bellaire School,0,0,0,0,0,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,Q136,29Q136,P.S. 136 Roy Wilkins,Q136,201-15 115 AVENUE,Q,29,630,,1,P.S. 136 Roy Wilkins,0,2,0,1,1,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q137,27Q137,M.S. 137 America's School of Heroes,Q137,109-15 98 STREET,Q,27,"1,918",,1,M.S. 137 America's School of Heroes,1,6,7,3,3,1751-2000,9C,0.81,5.43,8.48,3.24,2.33
2013-14,Q138,29Q138,P.S./ M.S.138 Sunrise,Q138,251-11 WELLER AVENUE,Q,29,793,,1,P.S./ M.S.138 Sunrise,0,2,2,2,0,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,Q139,28Q139,P.S. 139 Rego Park,Q139,93-06 63 DRIVE,Q,28,873,,1,P.S. 139 Rego Park,0,0,0,0,0,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,Q140,28Q140,P.S. 140 Edward K Ellington,Q140,166-01 116 AVENUE,Q,28,599,,1,P.S. 140 Edward K Ellington,0,1,1,0,1,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q141,30Q141,I.S. 141 The Steinway,Q141,37-11 21 AVENUE,Q,30,"1,209",,1,I.S. 141 The Steinway,0,1,0,1,0,1001-1250,6C,0.56,2.40,3.56,1.36,1.05
2013-14,Q142,75Q752,Queens Transition Center,Q752,142-10 LINDEN BOULEVARD,Q,28,383,142-10 LINDEN BOULEVARD CONSOLIDATED LOCATION,2,Queens Transition Center |  Home Instruction - Queen |  142-10 LINDEN BOULEVARD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q142,75Q504,Home Instruction - Queen,Q999,142-10 LINDEN BOULEVARD,Q,28,101,142-10 LINDEN BOULEVARD CONSOLIDATED LOCATION,2,Queens Transition Center |  Home Instruction - Queen |  142-10 LINDEN BOULEVARD CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,N/A,N/A,N/A,N/A,N/A
2013-14,Q142,,142-10 LINDEN BOULEVARD CONSOLIDATED LOCATION,,142-10 LINDEN BOULEVARD,Q,28,484,142-10 LINDEN BOULEVARD CONSOLIDATED LOCATION,2,Queens Transition Center |  Home Instruction - Queen |  142-10 LINDEN BOULEVARD CONSOLIDATED LOCATION,6,3,11,3,6,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,Q143,24Q143,P.S. 143 Louis Armstrong,Q143,34-74 113 STREET,Q,24,"1,811",,1,P.S. 143 Louis Armstrong,0,1,1,1,0,1751-2000,9C,0.81,5.43,8.48,3.24,2.33
2013-14,Q144,28Q144,P.S. 144 Col Jeromus Remsen,Q144,93-02 69 AVENUE,Q,28,808,,1,P.S. 144 Col Jeromus Remsen,0,0,0,0,0,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,Q145,30Q145,I.S. 145 Joseph Pulitzer,Q145,33-34 80 STREET,Q,30,"2,079",,1,I.S. 145 Joseph Pulitzer,1,2,5,0,2,2001-2500,10C,2.39,7.89,13.67,5.22,3.94
2013-14,Q146,27Q146,P.S. 146 Howard Beach,Q146,98-01 159 AVENUE,Q,27,700,,1,P.S. 146 Howard Beach,0,0,1,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q147,29Q147,PS/MS 147 Ronald McNair,Q147,218-01 116 AVENUE,Q,29,698,,1,PS/MS 147 Ronald McNair,0,3,1,1,2,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q148,30Q148,P.S. 148 Queens,Q148,89-02 32 AVENUE,Q,30,"1,041",,1,P.S. 148 Queens,0,0,0,0,0,1001-1250,6C,0.56,2.40,3.56,1.36,1.05
2013-14,Q149,30Q149,P.S. 149 Christa Mcauliffe,Q149,93-11 34 AVENUE,Q,30,"1,275",,1,P.S. 149 Christa Mcauliffe,0,0,1,0,0,1251-1500,7C,0.86,3.26,5.55,2.17,1.29
2013-14,Q150,30Q150,P.S. 150 Queens,Q150,40-01 43 AVENUE,Q,30,"1,198",,1,P.S. 150 Queens,0,2,0,2,0,1001-1250,6C,0.56,2.40,3.56,1.36,1.05
2013-14,Q151,30Q151,P.S. 151 Mary D. Carter,Q151,50-05 31 AVENUE,Q,30,486,,1,P.S. 151 Mary D. Carter,0,0,2,0,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,Q152,30Q152,P.S. 152 Gwendoline N. Alleyne School,Q152,33-52 62 STREET,Q,30,"1,362",,1,P.S. 152 Gwendoline N. Alleyne School,1,1,0,2,0,1251-1500,7C,0.86,3.26,5.55,2.17,1.29
2013-14,Q153,24Q153,P.S. 153 Maspeth Elem,Q153,60-02 60 LANE,Q,24,"1,454",,1,P.S. 153 Maspeth Elem,0,0,2,0,0,1251-1500,7C,0.86,3.26,5.55,2.17,1.29
2013-14,Q154,25Q154,P.S. 154 Queens,Q154,75-02 162 STREET,Q,25,703,,1,P.S. 154 Queens,0,1,0,1,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q155,27Q155,P.S. 155,Q155,130-02 115 AVENUE,Q,27,598,,1,P.S. 155,0,0,0,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q156,29Q289,Queens United Middle School,Q289,229-02 137 AVENUE,Q,29,80,229-02 137 AVENUE CONSOLIDATED LOCATION,2,P.S. 156 Laurelton |  Queens United Middle School |  229-02 137 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q156,29Q156,P.S. 156 Laurelton,Q156,229-02 137 AVENUE,Q,29,454,229-02 137 AVENUE CONSOLIDATED LOCATION,2,P.S. 156 Laurelton |  Queens United Middle School |  229-02 137 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q156,,229-02 137 AVENUE CONSOLIDATED LOCATION,,229-02 137 AVENUE,Q,29,534,229-02 137 AVENUE CONSOLIDATED LOCATION,2,P.S. 156 Laurelton |  Queens United Middle School |  229-02 137 AVENUE CONSOLIDATED LOCATION,0,3,2,1,2,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q157,28Q157,J.H.S. 157 Stephen A. Halsey,Q157,63-55 102ND STREET,Q,28,"1,476",,1,J.H.S. 157 Stephen A. Halsey,0,0,2,0,0,1251-1500,7C,0.86,3.26,5.55,2.17,1.29
2013-14,Q158,26Q158,M.S. 158 Marie Curie,Q158,46-35 OCEANIA STREET,Q,26,"1,120",,1,M.S. 158 Marie Curie,1,1,1,1,1,1001-1250,6C,0.56,2.40,3.56,1.36,1.05
2013-14,Q159,26Q159,P.S. 159,Q159,205-01 33 AVENUE,Q,26,626,,1,P.S. 159,0,0,0,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q160,28Q160,P.S. 160 Walter Francis Bishop,Q160,109-59 INWOOD STREET,Q,28,670,,1,P.S. 160 Walter Francis Bishop,0,0,2,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q161,28Q161,P.S. 161 Arthur Ashe School,Q161,101-33 124 STREET,Q,28,708,,1,P.S. 161 Arthur Ashe School,0,0,0,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q162,26Q162,P.S. 162 John Golden,Q162,201-02 53 AVENUE,Q,26,711,,1,P.S. 162 John Golden,0,0,0,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q163,25Q163,P.S. 163 Flushing Heights,Q163,159-01 59 AVENUE,Q,25,614,,1,P.S. 163 Flushing Heights,0,0,0,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q164,25Q164,P.S. 164 Queens Valley,Q164,138-01 77 AVENUE,Q,25,620,,1,P.S. 164 Queens Valley,0,2,0,0,1,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q165,25Q165,P.S. 165 Edith K. Bergtraum,Q165,70-35 150 STREET,Q,25,754,,1,P.S. 165 Edith K. Bergtraum,0,1,3,1,0,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,Q166,30Q166,P.S. 166 Henry Gradstein,Q166,33-09 35 AVENUE,Q,30,"1,240",,1,P.S. 166 Henry Gradstein,0,0,0,0,0,1001-1250,6C,0.56,2.40,3.56,1.36,1.05
2013-14,Q168,25Q252,"Queens School of Inquiry, The",Q252,158-40 76 ROAD,Q,25,590,158-40 76 ROAD CONSOLIDATED LOCATION,3,"I.S. 250 The Robert F. Kennedy Community Middle Sc |  Queens School of Inquiry, The |  P.S. Q255 |  158-40 76 ROAD CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,501-750,4C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q168,75Q255,P.S. Q255,Q255,158-40 76 ROAD,Q,25,416,158-40 76 ROAD CONSOLIDATED LOCATION,3,"I.S. 250 The Robert F. Kennedy Community Middle Sc |  Queens School of Inquiry, The |  P.S. Q255 |  158-40 76 ROAD CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q168,25Q250,I.S. 250 The Robert F. Kennedy Community Middle Sc,Q250,158-40 76 ROAD,Q,25,329,158-40 76 ROAD CONSOLIDATED LOCATION,3,"I.S. 250 The Robert F. Kennedy Community Middle Sc |  Queens School of Inquiry, The |  P.S. Q255 |  158-40 76 ROAD CONSOLIDATED LOCATION",N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q168,,158-40 76 ROAD CONSOLIDATED LOCATION,,158-40 76 ROAD,Q,25,"1,335",158-40 76 ROAD CONSOLIDATED LOCATION,3,"I.S. 250 The Robert F. Kennedy Community Middle Sc |  Queens School of Inquiry, The |  P.S. Q255 |  158-40 76 ROAD CONSOLIDATED LOCATION",0,2,2,0,2,1251-1500,7C,0.86,3.26,5.55,2.17,1.29
2013-14,Q169,25Q169,P.S. 169 Bay Terrace,Q169,18-25 212 STREET,Q,25,396,18-25 212 STREET CONSOLIDATED LOCATION,2,P.S. 169 Bay Terrace |  BELL Academy |  18-25 212 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q169,25Q294,BELL Academy,Q294,18-25 212 STREET,Q,25,367,18-25 212 STREET CONSOLIDATED LOCATION,2,P.S. 169 Bay Terrace |  BELL Academy |  18-25 212 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q169,,18-25 212 STREET CONSOLIDATED LOCATION,,18-25 212 STREET,Q,25,763,18-25 212 STREET CONSOLIDATED LOCATION,2,P.S. 169 Bay Terrace |  BELL Academy |  18-25 212 STREET CONSOLIDATED LOCATION,0,0,0,0,0,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,Q171,30Q171,P.S. 171 Peter G. Van Alst,Q171,14-14 29 AVENUE,Q,30,579,,1,P.S. 171 Peter G. Van Alst,0,1,1,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q172,26Q172,Irwin Altman Middle School 172,Q172,81-14 257 STREET,Q,26,968,,1,Irwin Altman Middle School 172,0,3,2,2,1,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,Q173,26Q173,P.S. 173 Fresh Meadows,Q173,174-10 67 AVENUE,Q,26,945,,1,P.S. 173 Fresh Meadows,0,0,0,0,0,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,Q174,28Q174,P.S. 174 William Sidney Mount,Q174,65-10 DIETERLE CRESCENT,Q,28,676,,1,P.S. 174 William Sidney Mount,0,0,0,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q175,28Q175,P.S. 175 The Lynn Gross Discovery School,Q175,64-35 102 STREET,Q,28,731,,1,P.S. 175 The Lynn Gross Discovery School,0,0,1,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q176,29Q176,P.S. 176 Cambria Heights,Q176,120-45 235 STREET,Q,29,741,,1,P.S. 176 Cambria Heights,0,0,0,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q177,75Q177,P.S. Q177,Q177,56-37 188 STREET,Q,26,493,,1,P.S. Q177,0,0,1,0,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,Q178,26Q178,P.S./ IS 178 Holliswood,Q178,189-10 RADNOR ROAD,Q,26,540,,1,P.S./ IS 178 Holliswood,0,0,0,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q179,75Q004,P.S. Q004,Q004,196-25 PECK AVENUE,Q,26,413,,1,P.S. Q004,0,0,0,0,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,Q180,27Q323,Scholars' Academy,Q323,320 BEACH 104TH STREET,Q,27,"1,253",,1,Scholars' Academy,1,1,0,2,0,1251-1500,7C,0.86,3.26,5.55,2.17,1.29
2013-14,Q181,29Q181,P.S. 181 Brookfield,Q181,148-15 230 STREET,Q,29,364,,1,P.S. 181 Brookfield,0,0,0,0,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,Q183,27Q183,P.S. 183 Dr. Richard R. Green,Q183,2-45 BEACH  79 STREET,Q,27,532,,1,P.S. 183 Dr. Richard R. Green,1,0,2,0,1,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q184,25Q184,P.S. 184 Flushing Manor,Q184,163-15 21 ROAD,Q,25,507,,1,P.S. 184 Flushing Manor,0,0,0,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q185,25Q185,J.H.S. 185 Edward Bleeker,Q185,147-26 25 DRIVE,Q,25,"1,520",,1,J.H.S. 185 Edward Bleeker,0,1,3,1,0,1501-1750,8C,0.81,3.95,6.51,2.30,1.78
2013-14,Q186,75Q224,P.S. Q224,Q224,252-12 72 AVENUE,Q,26,450,252-12 72 AVENUE CONSOLIDATED LOCATION,2,P.S. 186 Castlewood |  P.S. Q224 |  252-12 72 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q186,26Q186,P.S. 186 Castlewood,Q186,252-12 72 AVENUE,Q,26,366,252-12 72 AVENUE CONSOLIDATED LOCATION,2,P.S. 186 Castlewood |  P.S. Q224 |  252-12 72 AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q186,,252-12 72 AVENUE CONSOLIDATED LOCATION,,252-12 72 AVENUE,Q,26,816,252-12 72 AVENUE CONSOLIDATED LOCATION,2,P.S. 186 Castlewood |  P.S. Q224 |  252-12 72 AVENUE CONSOLIDATED LOCATION,0,0,0,0,0,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,Q188,26Q188,P.S. 188 Kingsbury,Q188,218-12 HARTLAND AVENUE,Q,26,643,,1,P.S. 188 Kingsbury,0,0,0,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q189,25Q189,J.H.S. 189 Daniel Carter Beard,Q189,144-80 BARCLAY AVENUE,Q,25,746,144-80 BARCLAY AVENUE CONSOLIDATED LOCATION,2,J.H.S. 189 Daniel Carter Beard |  Flushing International High School |  144-80 BARCLAY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,501-750,4C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q189,25Q263,Flushing International High School,Q263,144-80 BARCLAY AVENUE,Q,25,412,144-80 BARCLAY AVENUE CONSOLIDATED LOCATION,2,J.H.S. 189 Daniel Carter Beard |  Flushing International High School |  144-80 BARCLAY AVENUE CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q189,,144-80 BARCLAY AVENUE CONSOLIDATED LOCATION,,144-80 BARCLAY AVENUE,Q,25,"1,158",144-80 BARCLAY AVENUE CONSOLIDATED LOCATION,2,J.H.S. 189 Daniel Carter Beard |  Flushing International High School |  144-80 BARCLAY AVENUE CONSOLIDATED LOCATION,0,1,2,1,0,1001-1250,6C,0.56,2.40,3.56,1.36,1.05
2013-14,Q190,28Q190,J.H.S. 190 Russell Sage,Q190,68-17 AUSTIN STREET,Q,28,"1,011",,1,J.H.S. 190 Russell Sage,0,3,4,1,0,1001-1250,6C,0.56,2.40,3.56,1.36,1.05
2013-14,Q191,75Q993,P.S. Q993,Q993,85-15 258 STREET,Q,26,461,85-15 258 STREET CONSOLIDATED LOCATION,2,P.S. 191 Mayflower |  P.S. Q993 |  85-15 258 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q191,26Q191,P.S. 191 Mayflower,Q191,85-15 258 STREET,Q,26,409,85-15 258 STREET CONSOLIDATED LOCATION,2,P.S. 191 Mayflower |  P.S. Q993 |  85-15 258 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,251-500,3C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q191,,85-15 258 STREET CONSOLIDATED LOCATION,,85-15 258 STREET,Q,26,870,85-15 258 STREET CONSOLIDATED LOCATION,2,P.S. 191 Mayflower |  P.S. Q993 |  85-15 258 STREET CONSOLIDATED LOCATION,0,0,1,0,0,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,Q192,29Q259,Pathways College Preparatory School: A College Boa,Q259,109-89 204 STREET,Q,29,563,109-89 204 STREET CONSOLIDATED LOCATION,2,I.S. 192 The Linden |  Pathways College Preparatory School: A College Boa |  109-89 204 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,501-750,4C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q192,29Q192,I.S. 192 The Linden,Q192,109-89 204 STREET,Q,29,528,109-89 204 STREET CONSOLIDATED LOCATION,2,I.S. 192 The Linden |  Pathways College Preparatory School: A College Boa |  109-89 204 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,501-750,4C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q192,,109-89 204 STREET CONSOLIDATED LOCATION,,109-89 204 STREET,Q,29,"1,091",109-89 204 STREET CONSOLIDATED LOCATION,2,I.S. 192 The Linden |  Pathways College Preparatory School: A College Boa |  109-89 204 STREET CONSOLIDATED LOCATION,4,7,7,4,5,1001-1250,6C,0.56,2.40,3.56,1.36,1.05
2013-14,Q193,25Q193,P.S. 193 Alfred J. Kennedy,Q193,152-20 11 AVENUE,Q,25,500,,1,P.S. 193 Alfred J. Kennedy,0,0,0,0,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,Q194,25Q194,J.H.S. 194 William Carr,Q194,154-60 17 AVENUE,Q,25,"1,041",,1,J.H.S. 194 William Carr,0,1,1,1,0,1001-1250,6C,0.56,2.40,3.56,1.36,1.05
2013-14,Q195,29Q195,P.S. 195 William Haberle,Q195,253-50 149 AVENUE,Q,29,675,,1,P.S. 195 William Haberle,0,0,0,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q196,28Q196,P.S. 196 Grand Central Parkway,Q196,71-25 113 STREET,Q,28,747,,1,P.S. 196 Grand Central Parkway,0,0,0,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q197,27Q197,P.S. 197 The Ocean School,Q197,825 HICKSVILLE ROAD,Q,27,523,,1,P.S. 197 The Ocean School,0,0,2,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q198,27Q333,Goldie Maple Academy,Q333,3-65 BEACH 56 STREET,Q,27,541,,1,Goldie Maple Academy,0,0,0,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q199,24Q199,P.S. 199 Maurice A. Fitzgerald,Q199,39-20 48 AVENUE,Q,24,968,,1,P.S. 199 Maurice A. Fitzgerald,0,1,1,1,0,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,Q200,25Q200,PS/MS 200 - The Pomonok School & STAR Academy,Q200,70-10 164 STREET,Q,25,464,,1,PS/MS 200 - The Pomonok School & STAR Academy,0,0,0,0,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,Q201,25Q201,P.S. 201 The Discovery School for Inquiry and Rese,Q201,65-11 155 STREET,Q,25,473,,1,P.S. 201 The Discovery School for Inquiry and Rese,0,0,1,0,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,Q202,27Q308,Robert H. Goddard High School of Communication Art,Q308,138-30 LAFAYETTE STREET,Q,27,598,138-30 LAFAYETTE STREET CONSOLIDATED LOCATION,2,J.H.S. 202 Robert H. Goddard |  Robert H. Goddard High School of Communication Art |  138-30 LAFAYETTE STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,501-750,4C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q202,27Q202,J.H.S. 202 Robert H. Goddard,Q202,138-30 LAFAYETTE STREET,Q,27,"1,030",138-30 LAFAYETTE STREET CONSOLIDATED LOCATION,2,J.H.S. 202 Robert H. Goddard |  Robert H. Goddard High School of Communication Art |  138-30 LAFAYETTE STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1001-1250,6C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q202,,138-30 LAFAYETTE STREET CONSOLIDATED LOCATION,,138-30 LAFAYETTE STREET,Q,27,"1,628",138-30 LAFAYETTE STREET CONSOLIDATED LOCATION,2,J.H.S. 202 Robert H. Goddard |  Robert H. Goddard High School of Communication Art |  138-30 LAFAYETTE STREET CONSOLIDATED LOCATION,0,7,7,1,1,1501-1750,8C,0.81,3.95,6.51,2.30,1.78
2013-14,Q203,26Q203,P.S. 203 Oakland Gardens,Q203,53-11 SPRINGFIELD BOULEVARD,Q,26,897,,1,P.S. 203 Oakland Gardens,0,0,0,0,0,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,Q204,30Q204,I.S. 204 Oliver W. Holmes,Q204,36-41 28 STREET,Q,30,704,36-41 28 STREET CONSOLIDATED LOCATION,2,I.S. 204 Oliver W. Holmes |  Energy Tech High School |  36-41 28 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,501-750,4C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q204,30Q258,Energy Tech High School,Q258,36-41 28 STREET,Q,30,119,36-41 28 STREET CONSOLIDATED LOCATION,2,I.S. 204 Oliver W. Holmes |  Energy Tech High School |  36-41 28 STREET CONSOLIDATED LOCATION,N/A,N/A,N/A,N/A,N/A,1-250,2C,#N/A,#N/A,#N/A,#N/A,#N/A
2013-14,Q204,,36-41 28 STREET CONSOLIDATED LOCATION,,36-41 28 STREET,Q,30,823,36-41 28 STREET CONSOLIDATED LOCATION,2,I.S. 204 Oliver W. Holmes |  Energy Tech High School |  36-41 28 STREET CONSOLIDATED LOCATION,0,3,8,2,1,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,Q205,26Q205,P.S. 205 Alexander Graham Bell,Q205,75-25 BELL BOULEVARD,Q,26,313,,1,P.S. 205 Alexander Graham Bell,0,0,1,0,0,251-500,3C,0.35,1.06,1.09,0.73,0.50
2013-14,Q206,28Q206,P.S. 206 The Horace Harding School,Q206,61-02 98 STREET,Q,28,604,,1,P.S. 206 The Horace Harding School,0,1,0,0,1,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q207,27Q207,P.S. 207 Rockwood Park,Q207,159-15 88 STREET,Q,27,753,,1,P.S. 207 Rockwood Park,1,0,0,1,0,751-1000,5C,0.52,1.71,2.49,1.16,0.75
2013-14,Q208,29Q208,P.S. / I.S. 208,Q208,74-30 COMMONWEALTH BLVD,Q,26,733,,1,P.S. / I.S. 208,0,2,0,0,2,501-750,4C,0.33,1.32,1.76,0.83,0.59
2013-14,Q209,25Q209,P.S. 209 Clearview Gardens,Q209,16-10 UTOPIA PARKWAY,Q,25,627,,1,P.S. 209 Clearview Gardens,0,0,0,0,0,501-750,4C,0.33,1.32,1.76,0.83,0.59
